ID,post_title,post_name,post_date,post_status
10316,"Footer es",footer-es,"2026-04-21 05:29:58",publish
10315,"Footer de",footer-de,"2026-04-21 05:28:08",publish
10314,"Footer fr",footer-fr,"2026-04-21 05:26:32",publish
10312,"Footer en",footer-en,"2026-04-21 05:22:24",publish
1096,"Footer it",footer-it,"2026-03-11 14:26:06",publish
776,"Send email it",senza-titolo,"2026-03-11 11:45:53",publish
