plugin_slug,filename
all-in-one-wp-migration,all-in-one-wp-migration-7-79.zip
all-in-one-wp-migration-unlimited-extension,all-in-one-wp-migration-unlimited-extension-2.51.zip
advanced-custom-fields-pro,advanced-custom-fields-pro-6_2_6_1.zip
all-in-one-wp-migration,all-in-one-wp-migration-7-79.zip
tinymce-advanced,False
stops-core-theme-and-plugin-updates,False
svg-support,False
wps-hide-login,False
wps-limit-login,False
